id,latitude,longitude,year,name,sex,bottom_depth,surface_temperature,bottom_temperature,haul,cpue
72237,56.66667,-168.3,1975,southern Tanner crab,male,102,9,2.2,140,253
72236,56.65,-160.36667,1975,southern Tanner crab,male,60,1.4,0.9,18,2104
72235,56.68333,-161,1975,southern Tanner crab,male,66,2,0.8,16,5663
72234,56.66667,-161.65,1975,southern Tanner crab,male,90,1.8,1.3,11,40886
72233,56.68333,-162.2,1975,southern Tanner crab,male,70,2.6,,6,31524
72232,56.65,-162.75,1975,southern Tanner crab,male,73,2.5,0.4,5,26156
72231,56.66667,-163.4,1975,southern Tanner crab,male,73,4.6,0.3,47,4558
72230,56.66667,-163.98333,1975,southern Tanner crab,male,71,9.6,1.5,110,11625
72229,56.66667,-164.61667,1975,southern Tanner crab,male,71,9.2,1.3,109,12155
72228,56.66667,-165.23333,1975,southern Tanner crab,male,73,7.9,1.1,108,1651
72227,56.7,-165.86667,1975,southern Tanner crab,male,75,9.3,0.8,115,3302
72226,56.66667,-166.41667,1975,southern Tanner crab,male,80,9.7,0.7,116,2642
72225,56.66667,-167.06667,1975,southern Tanner crab,male,95,8.8,2.1,142,4425
72224,56.66667,-167.7,1975,southern Tanner crab,male,101,8.8,1.6,141,483
72223,56.33333,-170.7,1975,southern Tanner crab,male,121,6,2.7,93,10370
72222,56.33333,-170.06667,1975,southern Tanner crab,male,106,6.2,3.1,96,3369
72221,56.35,-169.43333,1975,southern Tanner crab,male,143,5.2,2.7,77,3501
72220,56.33333,-168.88333,1975,southern Tanner crab,male,130,5.3,2.7,76,9462
72219,56.33333,-168.23333,1975,southern Tanner crab,male,152,5.8,3.1,75,925
72218,56.31667,-161,1975,southern Tanner crab,male,53,2.9,2,17,5878
72217,56.31667,-161.6,1975,southern Tanner crab,male,62,2.7,1.4,10,7321
72216,56.35,-162.2,1975,southern Tanner crab,male,82,3.9,0.8,7,13078
72215,56.31667,-162.8,1975,southern Tanner crab,male,77,3.8,1.2,4,11810
72214,56.35,-163.36667,1975,southern Tanner crab,male,84,5.6,1,48,3170
72213,56.33333,-163.98333,1975,southern Tanner crab,male,84,5.8,2.3,49,4227
72212,56.33333,-164.6,1975,southern Tanner crab,male,84,5.3,1,60,7942
72211,56.35,-165.23333,1975,southern Tanner crab,male,84,7.2,0.5,107,212018
72210,56.35,-165.83333,1975,southern Tanner crab,male,88,8.8,1.6,106,5940
72209,56.35,-166.43333,1975,southern Tanner crab,male,99,8.3,2.8,105,4862
72208,56.33333,-167.03333,1975,southern Tanner crab,male,112,8.5,3,144,2141
72207,56.33333,-167.65,1975,southern Tanner crab,male,126,8.9,3.1,143,967
72206,55.99167,-168.18333,1975,southern Tanner crab,male,146,5.6,2.8,74,1243
72205,56,-162.21667,1975,southern Tanner crab,male,70,3.8,2,8,60432
72204,55.96667,-162.8,1975,southern Tanner crab,male,79,4.7,1,3,4213
72203,56.01667,-163.4,1975,southern Tanner crab,male,86,6.4,1.9,51,22325
72202,56.01667,-163.96667,1975,southern Tanner crab,male,88,5.8,0.5,50,10832
72201,56.01667,-164.58333,1975,southern Tanner crab,male,90,5.3,0.7,59,6078
72200,56,-165.2,1975,southern Tanner crab,male,93,4.9,1.8,61,2210
72199,55.99167,-165.8,1975,southern Tanner crab,male,106,5,2.8,62,3302
72198,56,-166.4,1975,southern Tanner crab,male,121,9,3.5,104,1519
72197,56,-167,1975,southern Tanner crab,male,130,9,4,145,6010
96023,54.66667,-165.13333,1975,southern Tanner crab,female,80,4.2,4.2,52,2840
96022,58,-171.58333,1975,southern Tanner crab,female,95,8.1,1.9,128,66
96021,58.01667,-161.46667,1975,southern Tanner crab,female,53,1.7,1.8,34,345
96020,57.98333,-162.1,1975,southern Tanner crab,female,38,2.5,2.3,35,69
96019,57.63333,-171.58333,1975,southern Tanner crab,female,95,7.8,2.3,129,207
96018,57.66667,-170.28333,1975,southern Tanner crab,female,70,8.1,1.7,125,967
96017,57.66667,-169.65,1975,southern Tanner crab,female,70,7.7,-0.7,124,138
96016,57.66667,-159.05,1975,southern Tanner crab,female,46,0.5,0.8,26,138
96015,57.68333,-159.63333,1975,southern Tanner crab,female,49,0.3,0.1,22,414
96014,57.68333,-160.86667,1975,southern Tanner crab,female,55,4,0.6,32,1189
96013,57.66667,-161.5,1975,southern Tanner crab,female,51,4.8,1.2,33,2624
96012,57.66667,-162.73333,1975,southern Tanner crab,female,44,3.2,0.4,39,39630
95399,57.68333,-163.33333,1975,southern Tanner crab,female,46,1.8,1.7,44,207
95398,57.33333,-172.08333,1975,southern Tanner crab,female,106,5.3,1.3,86,138
95397,57.35,-171.48333,1975,southern Tanner crab,female,97,5.4,1.7,85,2486
95396,57.35,-170.83333,1975,southern Tanner crab,female,80,6.9,3.1,131,1852
95395,57.3,-168.96667,1975,southern Tanner crab,female,70,8.6,2.7,134,1055
95394,57.31667,-159.06667,1975,southern Tanner crab,female,48,-0.1,0.3,25,47
95393,57.35,-159.66667,1975,southern Tanner crab,female,55,,-0.4,23,1189
95392,57.33333,-160.31667,1975,southern Tanner crab,female,60,1.8,,20,2235
95391,57.35,-160.91667,1975,southern Tanner crab,female,62,1.7,-1.2,14,2642
95390,57.35,-161.53333,1975,southern Tanner crab,female,53,2.3,-0.1,13,5944
95389,57.35,-162.13333,1975,southern Tanner crab,female,49,3,0.9,37,1123
95388,57.33333,-162.76667,1975,southern Tanner crab,female,48,2.9,0.7,40,1255
95387,57.35,-163.35,1975,southern Tanner crab,female,53,3,-0.2,45,4213
95386,57,-172.66667,1975,southern Tanner crab,female,119,6.2,2.4,88,138
95385,57,-172.03333,1975,southern Tanner crab,female,113,5.1,1.5,87,198
95232,57.03333,-170.25,1975,southern Tanner crab,female,66,4.2,2,81,4420
95231,57,-169.55,1975,southern Tanner crab,female,59,3.4,1.2,80,1519
95230,57,-168.96667,1975,southern Tanner crab,female,75,8.2,2.6,135,793
95229,56.96667,-168.36667,1975,southern Tanner crab,female,80,8.7,1.8,136,1189
95228,57,-159.7,1975,southern Tanner crab,female,55,1.1,0.7,24,1453
95227,57,-160.33333,1975,southern Tanner crab,female,62,1.2,-0.4,19,2378
95226,57.03333,-160.95,1975,southern Tanner crab,female,62,1.8,-0.1,15,1036
95225,57,-161.55,1975,southern Tanner crab,female,68,2,-0.1,12,7265
95224,57.01667,-162.15,1975,southern Tanner crab,female,60,3.7,0.7,38,31977
95223,57,-162.76667,1975,southern Tanner crab,female,60,2.5,1.6,41,69
95222,57.01667,-163.36667,1975,southern Tanner crab,female,64,3.2,0,46,15332
95221,57,-164.01667,1975,southern Tanner crab,female,66,9.1,1.7,111,44121
95220,57,-164.58333,1975,southern Tanner crab,female,66,9.1,0.9,112,13980
95219,57,-165.83333,1975,southern Tanner crab,female,70,9,0.7,114,2492
95218,56.66667,-172.56667,1975,southern Tanner crab,female,132,6.1,2.5,89,95
95217,56.66667,-171.96667,1975,southern Tanner crab,female,123,5.7,2.1,90,414
95216,56.66667,-171.33333,1975,southern Tanner crab,female,119,5.7,2.5,91,6216
95215,56.66667,-170.73333,1975,southern Tanner crab,female,110,6,2.4,94,21796
95214,56.66667,-169.48333,1975,southern Tanner crab,female,75,3.9,2.7,78,2912
95213,56.66667,-168.88333,1975,southern Tanner crab,female,99,4.9,2.9,79,4756
95212,56.66667,-168.3,1975,southern Tanner crab,female,102,9,2.2,140,203
95211,56.65,-160.36667,1975,southern Tanner crab,female,60,1.4,0.9,18,526
95210,56.68333,-161,1975,southern Tanner crab,female,66,2,0.8,16,1312
95209,56.66667,-161.65,1975,southern Tanner crab,female,90,1.8,1.3,11,25416
95208,56.68333,-162.2,1975,southern Tanner crab,female,70,2.6,,6,20889
95207,56.65,-162.75,1975,southern Tanner crab,female,73,2.5,0.4,5,30911
95206,56.66667,-163.4,1975,southern Tanner crab,female,73,4.6,0.3,47,1865
95205,56.66667,-163.98333,1975,southern Tanner crab,female,71,9.6,1.5,110,9973
95204,56.66667,-164.61667,1975,southern Tanner crab,female,71,9.2,1.3,109,10360
95203,56.7,-165.86667,1975,southern Tanner crab,female,75,9.3,0.8,115,660
95202,56.66667,-166.41667,1975,southern Tanner crab,female,80,9.7,0.7,116,330
95201,56.66667,-167.06667,1975,southern Tanner crab,female,95,8.8,2.1,142,666
95200,56.66667,-167.7,1975,southern Tanner crab,female,101,8.8,1.6,141,240
95199,56.33333,-170.7,1975,southern Tanner crab,female,121,6,2.7,93,13738
95198,56.33333,-170.06667,1975,southern Tanner crab,female,106,6.2,3.1,96,264
95197,56.35,-169.43333,1975,southern Tanner crab,female,143,5.2,2.7,77,2114
95196,56.33333,-168.88333,1975,southern Tanner crab,female,130,5.3,2.7,76,8288
78269,54.98333,-165.73333,1975,southern Tanner crab,female,126,5.2,3.2,67,3108
78270,55,-165.15,1975,southern Tanner crab,female,108,5.2,3.9,66,22584
78271,55.33333,-167.55,1975,southern Tanner crab,female,144,7.2,3.2,102,12432
78272,55.33333,-166.95,1975,southern Tanner crab,female,137,5.7,2.8,70,13342
78273,55.33333,-166.33333,1975,southern Tanner crab,female,130,5.3,3.6,69,2840
78274,55.33333,-165.78333,1975,southern Tanner crab,female,115,5.6,3.5,68,345
78275,55.33333,-165.16667,1975,southern Tanner crab,female,108,5,3.4,65,967
78276,55.33333,-164.58333,1975,southern Tanner crab,female,99,5.4,2.7,54,6209
78277,55.33333,-163.98333,1975,southern Tanner crab,female,73,5.6,3.7,55,11096
78278,55.35,-163.43333,1975,southern Tanner crab,female,51,5.2,2,1,6989
78279,55.66667,-167.56667,1975,southern Tanner crab,female,132,6.8,3.4,72,1588
78280,55.66667,-166.96667,1975,southern Tanner crab,female,132,5.8,4.5,71,1255
78281,55.66667,-166.4,1975,southern Tanner crab,female,123,8.3,3.2,103,1981
78282,55.68333,-165.76667,1975,southern Tanner crab,female,113,5.3,3.3,63,4627
78283,55.68333,-165.16667,1975,southern Tanner crab,female,104,5,3.1,64,5456
78284,55.68333,-164.58333,1975,southern Tanner crab,female,91,5.6,2.6,58,660
78285,55.68333,-164.01667,1975,southern Tanner crab,female,91,5.6,2.5,57,10436
78286,55.68333,-163.38333,1975,southern Tanner crab,female,80,5.6,2,56,8983
78287,55.65,-162.86667,1975,southern Tanner crab,female,53,4.5,1.6,2,553
78288,55.63333,-168.25,1975,southern Tanner crab,female,134,6.8,3,100,8520
78289,56,-167,1975,southern Tanner crab,female,130,9,4,145,4954
78290,56,-166.4,1975,southern Tanner crab,female,121,9,3.5,104,69
78291,56,-165.2,1975,southern Tanner crab,female,93,4.9,1.8,61,760
78292,56.01667,-164.58333,1975,southern Tanner crab,female,90,5.3,0.7,59,10208
78293,56.01667,-163.96667,1975,southern Tanner crab,female,88,5.8,0.5,50,15918
78294,56.01667,-163.4,1975,southern Tanner crab,female,86,6.4,1.9,51,7398
78295,55.96667,-162.8,1975,southern Tanner crab,female,79,4.7,1,3,1036
78296,56,-162.21667,1975,southern Tanner crab,female,70,3.8,2,8,12086
78297,55.99167,-168.18333,1975,southern Tanner crab,female,146,5.6,2.8,74,69
78298,56.33333,-167.03333,1975,southern Tanner crab,female,112,8.5,3,144,2210
78452,56.35,-166.43333,1975,southern Tanner crab,female,99,8.3,2.8,105,52263
78453,56.35,-165.83333,1975,southern Tanner crab,female,88,8.8,1.6,106,1381
78454,56.35,-165.23333,1975,southern Tanner crab,female,84,7.2,0.5,107,3302
78455,56.33333,-164.6,1975,southern Tanner crab,female,84,5.3,1,60,2072
78456,56.33333,-163.98333,1975,southern Tanner crab,female,84,5.8,2.3,49,2642
78457,56.35,-163.36667,1975,southern Tanner crab,female,84,5.6,1,48,1321
78458,56.31667,-162.8,1975,southern Tanner crab,female,77,3.8,1.2,4,10360
78459,56.35,-162.2,1975,southern Tanner crab,female,82,3.9,0.8,7,2378
78460,56.31667,-161.6,1975,southern Tanner crab,female,62,2.7,1.4,10,4489
78461,56.31667,-161,1975,southern Tanner crab,female,53,2.9,2,17,2246
71574,56.01667,-167.61667,1975,southern Tanner crab,male,128,5.5,3.1,73,1783
71573,55.65,-162.86667,1975,southern Tanner crab,male,53,4.5,1.6,2,4006
71572,55.68333,-163.38333,1975,southern Tanner crab,male,80,5.6,2,56,98281
71571,55.68333,-164.01667,1975,southern Tanner crab,male,91,5.6,2.5,57,10238
71570,55.68333,-164.58333,1975,southern Tanner crab,male,91,5.6,2.6,58,2378
71569,55.68333,-165.16667,1975,southern Tanner crab,male,104,5,3.1,64,5249
