Year,Month,GMSL,GMSL uncertainty
2005,2,37.2,6.8
2005,3,36.2,6.9
2005,4,36.4,6.9
2005,5,37.9,6.8
2005,6,40,6.8
2005,7,40.7,6.8
2005,8,39.7,6.8
2005,9,36.6,6.8
2005,10,36,6.8
2005,11,34.7,6.8
2005,12,35.5,6.8
2006,1,35.2,6.8
2006,2,37.8,6.8
2006,3,43,6.8
2006,4,44.7,6.8
2006,5,43.4,6.8
2006,6,40.8,6.8
2006,7,40.3,6.8
2006,8,42.2,6.8
2006,9,43.5,6.8
2006,10,44.6,6.9
2006,11,44.2,6.9
2006,12,39.1,7
2007,1,35.6,7
2007,2,31.4,7
2007,3,34.3,7.1
2007,4,38.3,7.1
2007,5,45.5,7.2
2007,6,49.1,7.2
2007,7,50.5,7.2
2007,8,50.5,7.3
2007,9,47.9,7.1
2007,10,46.5,7
2007,11,46.8,6.9
2007,12,45.4,6.8
2008,1,46.5,6.8
2008,2,46.1,6.8
2008,3,52.5,6.8
2008,4,56.3,6.8
2008,5,60.1,6.8
2008,6,60.1,6.8
2008,7,59.3,6.8
2008,8,55,6.8
2008,9,50.9,6.8
2008,10,46.8,6.8
2008,11,46.8,6.8
2008,12,46,6.9
2009,1,47.5,6.9
2009,2,46.8,6.9
2009,3,49,6.9
2009,4,50.2,6.9
2009,5,55.6,6.9
2009,6,59.6,6.9
2009,7,62.7,6.9
2009,8,62.9,6.8
2009,9,63.6,6.8
2009,10,63.9,6.8
2009,11,65.6,6.9
2009,12,68.8,7
2010,1,67.6,7.1
2010,2,67.6,7.1
2010,3,63.2,7.1
2010,4,65,7
2010,5,61.7,7.1
2010,6,61.8,7.1
2010,7,61,7.1
2010,8,63.3,7.1
2010,9,65.2,7.1
2010,10,68.7,7.1
2010,11,71.1,7.1
2010,12,72.8,7.4
2011,1,70.4,7.4
2011,2,68.5,7.4
2011,3,67.2,7.5
2011,4,70.6,7.5
2011,5,72.6,7.5
2011,6,73.2,7.6
2011,7,72.1,7.6
2011,8,69.3,7.6
2011,9,67,7.6
2011,10,62.6,7.6
2011,11,58.7,7.6
2011,12,55.4,7.7
2012,1,58.5,7.7
2012,2,63.8,7.7
2012,3,72.5,8.3
2012,4,80.4,8.3
2012,5,82,8.4
2012,6,82.4,8.4
2012,7,78.1,8.4
2012,8,78.8,8.4
2012,9,78.6,8.4
2012,10,80.8,8.4
2012,11,79.4,8.4
2012,12,77.7,8.8
2013,1,70.5,8.8
2013,2,65.7,8.8
2013,3,67,8.8
2013,4,69.8,8.8
2013,5,72,8.8
2013,6,71.5,8.8
2013,7,71.2,8.8
2013,8,71.6,8.8
2013,9,68.8,8.8
2013,10,66.4,8.9
2013,11,59.7,9
2013,12,58.5,9
